x_coordinates,true_y,predicted_y,prediction_uncertainty,predict_time_s,update_tree_time_s
0.8670272054032353;0.8748536739110139,728.8968341680591,1069.930295481786,267.9864459341129,0.00045114900001408387,0.0008340750000570551
0.16668413885111721;0.5145047645399659,1333.5220012661937,1063.7707525418705,325.22588368574054,0.0005098989998941761,0.000746683999977904
0.8684897884614236;0.5281188692203971,1375.4675845053157,937.6300875253753,338.44449022599076,0.00046152100003382657,0.0007263050000574367
0.5416132087663013;0.530978352552351,1014.0902812335204,982.7212568092684,160.03157782979306,0.0004564079999909154,0.0008168690000047718
0.4938699641698807;0.9997805721463133,1512.2473450888117,987.8337626262488,350.3102345902145,0.0005206879999377634,0.0006944659999135183
0.19116021380194703;0.25421032699302404,712.8960918556586,775.2446097209973,128.6494829774531,0.000513716000000386,0.0007109710001031999
0.8799481626254377;0.18393246612348635,816.5772933042261,1070.9054731895772,340.0497423398561,0.000459155999919858,0.0006900979999500123
0.9286409220464708;0.8173872760119055,814.0373926285915,1062.306394010488,323.5436665295992,0.0005221790000859983,0.0007532010000659284
0.8184361762469247;0.33794292957842775,746.6974315570167,873.3961714540794,278.208916215158,0.0005275830000073256,0.0006790429999909975
0.8762359415301769;0.8531226431856471,1577.2198775712186,1364.5818966602098,79.30526212258962,0.0005429560000038691,0.0008248520000506687
0.7028979231811651;0.38182520765791106,1088.724693985549,908.3084949386244,334.59761002693193,0.0005857329999798822,0.0007612720000906847
0.6226730268524593;0.5890766026291152,871.3464864928198,1030.1660024735463,322.2776398706815,0.0004958980000537849,0.0006880800000317322
0.7667287906570972;0.6233669892897257,1270.2110079818099,929.7993260115005,279.4637391673774,0.0005112779999763006,0.0007360329999528403
0.29831080670682475;0.003958960883670981,457.5048753830127,950.8654601328689,342.2124375741686,0.000679784999988442,0.0007650830000329734
0.05712362422488426;0.32549110390656966,612.392816421547,909.7582271525023,345.84171470928186,0.00045711699999628763,0.0007514500000525004
0.9757576689980714;0.7322767570979044,713.4824734280942,1023.6902481602484,307.8245848598636,0.0005065380000814912,0.0007787150000240217
0.8742278552740008;0.5819667497868081,1128.2031450281042,954.5468644020589,234.68701885028935,0.000527731000033782,0.0007989959999576968
0.7323961253322872;0.8026371109697547,1134.0471736226416,813.6870386813596,291.77467518300347,0.0004502840000668584,0.0007485379999252473
0.5506814269579522;0.5230965137707952,1035.5552447995008,966.5374117688439,154.83016339648375,0.0004972379999799159,0.0006904919999897174
0.619858159673157;0.5971260204179232,940.0477230230551,1033.6324678727026,331.08307790596655,0.0005184660000168151,0.0008058570000457621
0.14542977481785013;0.7030367655717112,668.582998132961,709.2421296565617,122.7246012854713,0.00046772199993938557,0.0007166950000510042
0.5404236664120372;0.9589440416547665,1433.1999225972063,1011.9244216111504,323.4872488835602,0.0004437110000026223,0.0007417869999244431
0.3181649105254223;0.7959435441092295,899.1441692887378,859.4645183597706,311.77177001465276,0.0005186020000564895,0.0007458210000095278
0.18016230444217118;0.9253955884157076,1302.6736058309893,1174.633761828428,289.18983406554275,0.0005089300000236108,0.0007389050000483621
0.6562240579766817;0.68539953564786,1067.3604204107535,1053.9623049500162,249.7601913962098,0.00045958900000186986,0.0007411259999798858
0.038539502357762934;0.7487567811638229,871.3363827641629,990.0561796274742,307.42408034269954,0.0004474990000744583,0.0008292310000115322
0.018249252993791876;0.7597013435473309,600.3874023343521,976.9863260410377,311.13769304874944,0.0004968990000406848,0.0006745700000010402
0.8170891665958664;0.544079831912051,838.3965471271773,918.5018593505016,313.9342453436745,0.0005295160000287069,0.03344713900003171
0.2022028533082827;0.5918943012692934,1225.256355939484,926.2517149961049,329.3213118556374,0.0007037829999489986,0.0008452529999658509
0.2581955588712287;0.453115106880594,959.7694827478019,1072.5957233251904,280.7885729878583,0.0004627830001027178,0.000761028999932023
0.5340498154601987;0.7814861227802432,1017.8754910318355,1035.1833883159593,70.07537966574985,0.0005034460000388208,0.0008413670000209095
0.9842203320394529;0.10500437002979957,1050.5977764527715,992.1218549977077,323.40944094860293,0.000553046000050017,0.0007313669999575723
0.6246146904269964;0.13116430901605103,694.8882608119774,787.0916729440157,211.68284795551816,0.00044121299993094,0.0007309589999522359
0.09759971138732204;0.6351399489708848,880.0623532358197,756.6456263253006,157.3481457911742,0.00046169600000212085,0.0007077269999626878
0.5308474477637997;0.660419321713011,810.0998145430543,961.9480645177089,269.1923467834864,0.0005070409999916592,0.0008444929999313899
0.8075435232612276;0.5973340529462978,980.3582733381156,893.554453289566,262.1616511730869,0.0004617549999466064,0.0007016560000465688
0.1500392962574646;0.6673397554459434,642.683488018741,477.418746173395,193.42702362070884,0.0004159249999702297,0.0007552360000318004
0.4313591990899882;0.19299266248929803,763.9590538418702,714.217086181347,151.19519958004204,0.0004923950000375044,0.0007965500000182146
0.21830671977257365;0.24778764323580993,1132.7373054017485,897.8268155655402,153.86949412659564,0.0005099079999126843,0.0007535459999417071
0.7104740681126499;0.3070537935626759,937.9207737125545,920.1402060204354,258.3358661280004,0.00043559499999901163,0.000630752000006396
0.6015456914337646;0.26932623282559565,919.9212190624892,1034.7102732837357,308.6550406920198,0.0004181980000339536,0.0007625000000643922
0.06672322765477467;0.7735038979162758,1419.1368008828636,951.747675558274,307.6424836532904,0.0005781319999869083,0.02513406599996415
0.7608818662781759;0.18566978634676745,1043.6417957700553,1013.0434782260504,253.6125317316569,0.0005852150000009715,0.0008403030000181388
0.634024335143403;0.6965068706923728,1297.8162821083988,1184.5819602098634,141.36363553266844,0.0004968069999904401,0.0007896859999618755
0.17717036247183393;0.0726422762020591,897.8088257204182,938.2616299979138,250.53225081579478,0.0004929430000402135,0.000798446999965563
0.018019422966402354;0.393806060260102,1362.3874158581414,887.112254011214,319.9094101530199,0.0006516760000749855,0.0009631540000327732
0.34864943372025536;0.008333100895344114,395.065438644716,679.7327184739589,308.34334681872446,0.0007498119999809205,0.0007851249999930587
0.031116205071469838;0.6228302464649775,992.8293115781591,1014.3463745197789,328.1758428632415,0.00042223700006616127,0.000739134000014019
0.9650887082290888;0.4799209977856026,637.8849119117887,918.6029052809771,242.05264058324394,0.0005146580000428003,0.0007256009999991875
0.8020033655547623;0.8412565045881004,1327.7349548364887,1065.0067196761327,244.98616649861063,0.0005105159999629905,0.0008634019999362863
0.28648237377283614;0.9154200204114119,1063.5533329849395,1043.8939040352373,144.5508091047651,0.0004468690000294373,0.0007203259999641887
0.12938282284346658;0.16704603398031304,1024.9372764721884,1284.4857215156756,329.9920766415641,0.00043830399999933434,0.0007904779999989842
0.06517565085104571;0.9971795351855585,1369.0226660848143,870.1906721366771,336.66846923267207,0.0005035410000573393,0.0008411640000076659
0.13182791937135274;0.08319630175554149,969.3889641827386,996.9061200339008,320.2540515124272,0.00044090799997320573,0.0007642939999641385
0.7624080362498475;0.24792600043877544,1066.4475431326723,1080.278236181566,158.64530888922593,0.0004345920000332626,0.0007345549998944989
0.015434845326558477;0.4345554494468957,1031.0287275711576,974.5389330466195,316.0345637484112,0.0004788580000649745,0.0007902260000491879
0.3632752922501977;0.3212513803092978,1220.26646840064,965.6065559280511,186.74993081402138,0.0005107370000132505,0.0007632770000327582
0.9622150888063977;0.31869800147373817,1078.3416102107221,1029.2834329036878,221.22686405858286,0.00045025500003248453,0.0006720750000113185
0.38957008861227815;0.9940907378819199,1187.9185056717959,835.8238031724329,327.9641564946932,0.0004490860000032626,0.0007426359999271881
0.7676869884797773;0.6520276816506196,815.3134703906838,1046.0001403488075,205.47918549571875,0.0004968570000301042,0.0006598669999675622
0.7066632098560254;0.07327979872538748,724.3455013415487,891.2563199199797,212.1685369901727,0.0006431949999523567,0.0007374360000085289
0.9241839438985879;0.2191834070852684,395.55895417052795,1004.6437411036109,226.5082636213059,0.00045909200002824946,0.0007520199999362376
0.8952335021505152;0.03879795983042156,1464.459862499756,1057.7872680756216,246.25105418119165,0.0005281889999650957,0.0007959199999731936
0.037605556307741206;0.6620717216928146,1584.5063880963694,1135.8551007216156,257.0518664217614,0.0004830569999967338,0.0006236230000240539
0.05027650411396434;0.5443722463177857,567.6341095517844,853.0754678383613,319.55050134837035,0.0004793649999328409,0.0007430619999695409
0.3206860476185224;0.7598447976741041,674.5427741251877,809.201052542491,263.3857644150348,0.0005387400000245179,0.0007352040000796478
0.33866385360633966;0.23234186208898167,909.221385851215,643.4859059771633,224.79325253441698,0.00042508800004270597,0.0007200780000857776
0.34134707722783697;0.3363980963827793,1110.9516329049582,1028.531006775059,92.15559846582545,0.0004697639999449166,0.0006760539999959292
0.7330589142877113;0.019105972347490563,439.24420719579564,775.8498442537748,234.340988274248,0.00048319900008664263,0.0008128900000201611
0.2808346128489475;0.22825784165022012,1000.455948542273,970.6871520111198,280.30741884392603,0.00046479499997076346,0.0007026179999911619
0.15388829474174448;0.48225165347688026,1206.0436130607327,1257.19678243006,274.5703406983925,0.00041080699998019554,0.0007450009999274698
0.2907948969370203;0.5872249431292496,1037.5433897389703,934.6353848887173,294.8739341764627,0.0004619200000206547,0.0008269689999451657
0.09083999075945737;0.549055976081676,770.0336546591876,952.3099478879027,322.2086087027879,0.00048600299999179697,0.03545901100005722
0.4158929254097127;0.27144670247144054,1005.5269466123846,917.1998934074804,298.5628527361886,0.0006493750000799992,0.0008177999999361418
0.4490643459280921;0.31483878601503434,1013.5230114768452,998.8186592717376,318.44390541027644,0.0004970029999640246,0.0007733850000022358
0.13175145590831383;0.11010147920982549,260.4766869995166,959.9288583126198,244.46277916644513,0.0005061690000047747,0.0007670260000622875
0.6914893369494154;0.9903770195558823,805.2918481012151,991.424586643685,247.56894065780693,0.000552690000063194,0.0007514279999440987
0.7780814692719143;0.14053053252333902,1331.6381086570655,1023.0440778064784,231.9806120757804,0.0004420639999125342,0.03674669100007577
0.8453359570430934;0.5072641653571279,1287.0571426962183,1094.4265924238746,197.17447361540292,0.0006467969999448542,0.0009116100000028382
0.5465299887673392;0.7558409265442648,1156.852625321796,1054.098609548801,174.3491336591559,0.0004918700000189347,0.0007614639999928841
0.7686099902207771;0.10394443929153308,1216.1019202083462,1192.1222252247544,126.93585904127634,0.00047709600005418906,0.0007717340000681361
0.6824150893625703;0.5495875042748282,868.4135047079693,1095.384834410682,183.2106101190763,0.0004969889999983934,0.0007677110000940957
0.44051242873913943;0.5987252893112693,1163.905967695276,957.6076308149438,341.471376624729,0.0005166869999584378,0.0007384250000086467
0.9900538641150025;0.44335992440880523,1267.4216464794906,850.7153639666259,230.32379803486197,0.0004590280000229541,0.0007317170000078477
0.10356111708423377;0.49881468432970466,1233.7826285224587,1065.6232057816082,232.1539935300435,0.00044404799996300426,0.0008006509999631817
0.9728803280858482;0.6198385571741307,1226.0809916543121,955.6756278190632,258.0852381596681,0.0006618310000021665,0.0009068519999573255
0.46883793927492956;0.26467573240194586,1146.949482459785,984.7706166846607,273.0676511856591,0.00046696899994458363,0.0007625460000326711
0.027461137348628206;0.45960416922813585,893.2220550463651,988.0480366141359,206.94650956543475,0.00044453499992869183,0.0008176219999995737
0.3544127108733478;0.25808748428604145,921.5896959257481,716.6970219700688,190.0023743138953,0.0004925480000110838,0.0007426629999827128
0.03629052119472065;0.8647781105987185,140.39611108435417,641.1572131699751,271.24360696233833,0.00046008999993318866,0.0007147689999555951
0.9021753482820201;0.2851969182591114,1205.4267132589925,1316.5221874921579,199.85091038786922,0.0004553100000066479,0.0007461100000227816
0.7822928660418879;0.4400577337116892,1232.6666157523605,926.9878404541981,271.0802515571407,0.000573853999981111,0.0007632470000089597
0.3985695452382856;0.9857465149879502,1101.5956900098024,1143.2994672424375,125.64438959952076,0.0005270670000072641,0.0007402679999586326
